project,projectUrl,file,sourceUrl,bytes,alt,error
"A-40 Summer House 2023 Almaza bay","https://hazemmogharred.myportfolio.com/a-40-summer-house","01 A-40 Summer House 2023 Almaza bay/001-0178318e-ac2b-4f20-9274-48535919583b.jpg","https://cdn.myportfolio.com/f3ebab24-edaf-476a-821a-7cd833814e55/0178318e-ac2b-4f20-9274-48535919583b_rwc_0x558x1920x1440x1920.jpg?h=2d7aa0c4d31343d0a010f77a6de1327d","1022393","",""
"A-40 Summer House 2023 Almaza bay","https://hazemmogharred.myportfolio.com/a-40-summer-house","01 A-40 Summer House 2023 Almaza bay/002-0193c63d-6d62-49d5-ae6d-886e83e5651c.jpg","https://cdn.myportfolio.com/f3ebab24-edaf-476a-821a-7cd833814e55/0193c63d-6d62-49d5-ae6d-886e83e5651c_rwc_41x0x1829x1372x1920.jpg?h=b46cdffee475511400e781dd1daf51b9","1167226","",""
"A-40 Summer House 2023 Almaza bay","https://hazemmogharred.myportfolio.com/a-40-summer-house","01 A-40 Summer House 2023 Almaza bay/003-11c64886-c460-44fe-ba00-194cd819f980.jpg","https://cdn.myportfolio.com/f3ebab24-edaf-476a-821a-7cd833814e55/11c64886-c460-44fe-ba00-194cd819f980_rw_1920.jpeg?h=c1efa75f129a240a3dc8bd11d9962e91","270956","",""
"A-40 Summer House 2023 Almaza bay","https://hazemmogharred.myportfolio.com/a-40-summer-house","01 A-40 Summer House 2023 Almaza bay/004-151dc302-ca87-48b0-8552-075ce7e14b56.jpg","https://cdn.myportfolio.com/f3ebab24-edaf-476a-821a-7cd833814e55/151dc302-ca87-48b0-8552-075ce7e14b56_rwc_174x104x1279x959x1366.jpg?h=99f5245b5a54756c2e6a619a03fe6ca0","470683","",""
"A-40 Summer House 2023 Almaza bay","https://hazemmogharred.myportfolio.com/a-40-summer-house","01 A-40 Summer House 2023 Almaza bay/005-1dbbb94a-df98-4feb-bae0-40b1cf7174a9.jpg","https://cdn.myportfolio.com/f3ebab24-edaf-476a-821a-7cd833814e55/1dbbb94a-df98-4feb-bae0-40b1cf7174a9_rwc_0x558x1920x1440x1920.jpg?h=1353b0e20bb5cb7e475b2156350d3bc6","1247247","",""
"A-40 Summer House 2023 Almaza bay","https://hazemmogharred.myportfolio.com/a-40-summer-house","01 A-40 Summer House 2023 Almaza bay/006-22259a67-3f4e-4f4b-825c-d8a0cea042a9.png","https://cdn.myportfolio.com/f3ebab24-edaf-476a-821a-7cd833814e55/22259a67-3f4e-4f4b-825c-d8a0cea042a9_rwc_0x163x721x540x640.png?h=b3818868f5db36da4fa24cd10017986e","358269","",""
"A-40 Summer House 2023 Almaza bay","https://hazemmogharred.myportfolio.com/a-40-summer-house","01 A-40 Summer House 2023 Almaza bay/007-2813c77e-bf6c-4859-8366-66d9e5db95fe.jpg","https://cdn.myportfolio.com/f3ebab24-edaf-476a-821a-7cd833814e55/2813c77e-bf6c-4859-8366-66d9e5db95fe_rw_1920.jpeg?h=42ca00a8f02cdbf1a132322b864d09d4","2851161","",""
"A-40 Summer House 2023 Almaza bay","https://hazemmogharred.myportfolio.com/a-40-summer-house","01 A-40 Summer House 2023 Almaza bay/008-2d1516ee-faf1-4842-af19-372b876a8394.png","https://cdn.myportfolio.com/f3ebab24-edaf-476a-821a-7cd833814e55/2d1516ee-faf1-4842-af19-372b876a8394_rwc_0x181x677x507x640.png?h=305f3c882a462590a8aa2f6ea11057c1","379754","",""
"A-40 Summer House 2023 Almaza bay","https://hazemmogharred.myportfolio.com/a-40-summer-house","01 A-40 Summer House 2023 Almaza bay/009-2fcd85d3-dc5f-4be4-8f00-2b4208d040e5.jpg","https://cdn.myportfolio.com/f3ebab24-edaf-476a-821a-7cd833814e55/2fcd85d3-dc5f-4be4-8f00-2b4208d040e5_rwc_90x0x1421x1066x1421.jpeg?h=c323bcea365ca5a7ced2a94574fdc9ad","312709","",""
"A-40 Summer House 2023 Almaza bay","https://hazemmogharred.myportfolio.com/a-40-summer-house","01 A-40 Summer House 2023 Almaza bay/010-36431b1b-8cf4-433d-ae60-1a4f576c5546.jpg","https://cdn.myportfolio.com/f3ebab24-edaf-476a-821a-7cd833814e55/36431b1b-8cf4-433d-ae60-1a4f576c5546_rw_3840.jpeg?h=f441a5a3174ea4d0faf58dc7d16028e4","3050246","",""
"A-40 Summer House 2023 Almaza bay","https://hazemmogharred.myportfolio.com/a-40-summer-house","01 A-40 Summer House 2023 Almaza bay/011-42de1075-42e0-469c-9b0a-7ebccf54c6b7.jpg","https://cdn.myportfolio.com/f3ebab24-edaf-476a-821a-7cd833814e55/42de1075-42e0-469c-9b0a-7ebccf54c6b7_rwc_34x0x1523x1143x1523.jpg?h=7e1af2ec3ac14604f4bd0b86f216c9dc","624827","",""
